event_id,choice_index,type,param,value
plains_tang_patrol,3,has_companion,Translator,1
plains_dacoit_ambush,,min_danger,,20
plains_dacoit_ambush,2,min_money,,20
plains_dacoit_ambush,3,has_companion,Guard,1
plains_sogdian_merchant,3,has_companion,Merchant,1
plains_broken_wheel,,max_cart_durability,,110
plains_persian_scholar,1,has_item,Paper,1
plains_persian_scholar,3,has_companion,Translator,1
plains_abbasid_deserters,,min_danger,,25
plains_abbasid_deserters,3,has_companion,Guard,1
plains_turkic_horsemen,,min_danger,,30
plains_turkic_horsemen,3,has_companion,Guard,1
plains_cart_axle_split,,max_cart_durability,,100
plains_arab_tax_collector,3,has_companion,Translator,1
plains_shepherd_camp,1,min_money,,5
plains_buddhist_monk,1,min_food,,10
plains_sick_ox,3,has_companion,Healer,1
plains_hidden_well,,max_food,,20
plains_hidden_well,3,has_companion,Guide,1
plains_persian_caravanserai,3,has_companion,Merchant,1
plains_damascus_bazaar,2,min_money,,10
plains_damascus_bazaar,3,has_companion,Merchant,1
plains_military_conscription,1,min_money,,20
plains_hindu_pilgrims,3,has_companion,Healer,1
plains_counterfeit_coins,3,has_companion,Merchant,1
plains_night_raiders,,min_danger,,20
plains_night_raiders,3,has_companion,Guard,1
plains_roadside_market,1,min_money,,5
plains_roadside_market,3,min_money,,8
plains_dust_storm,3,has_companion,Guide,1
plains_tang_official,2,min_money,,10
plains_tang_official,3,has_companion,Translator,1
plains_wild_horses,3,has_companion,Guide,1
plains_merchant_caravan,1,min_money,,15
plains_bandit_toll,,min_danger,,25
plains_bandit_toll,1,min_money,,15
plains_bandit_toll,3,has_companion,Guard,1
desert_snake_nest,3,has_companion,Healer,1
desert_turkic_raiders,,min_danger,,25
desert_turkic_raiders,3,has_companion,Guard,1
desert_sogdian_caravan,3,has_companion,Merchant,1
desert_axle_crack,,max_cart_durability,,100
desert_bedouin_tracker,3,has_companion,Translator,1
desert_djinn_fire,,min_danger,,15
desert_djinn_fire,3,has_companion,Guide,1
desert_dried_well,,max_food,,25
desert_hajj_pilgrims,1,min_food,,15
desert_hajj_pilgrims,3,has_item,Dates,1
desert_camel_collapse,,max_food,,20
desert_camel_collapse,1,min_food,,10
desert_camel_collapse,3,has_companion,Healer,1
desert_turkic_herdsman,1,min_food,,10
desert_turkic_herdsman,3,has_companion,Translator,1
desert_cursed_ruins,,min_danger,,20
desert_cursed_ruins,2,has_item,Frankincense,1
desert_deserter_ambush,,min_danger,,30
desert_deserter_ambush,2,min_food,,15
desert_deserter_ambush,3,has_companion,Guard,1
desert_sogdian_banker,,min_money,,30
desert_arab_captain,3,has_companion,Translator,1
desert_hermit_sage,2,min_food,,10
desert_mirage_djinn,,min_danger,,20
desert_sand_viper,3,has_companion,Healer,1
desert_bedouin_raid,,min_danger,,25
desert_bedouin_raid,2,min_food,,20
desert_bedouin_raid,3,has_companion,Guard,1
desert_incense_trader,1,min_money,,20
desert_incense_trader,2,has_item,Frankincense,1
desert_nomad_barter,1,has_item,Porcelain,1
desert_nomad_barter,2,min_money,,25
desert_nomad_barter,3,has_companion,Merchant,1
desert_guide_shortcut,,has_companion,Guide,1
