event_id,choice_index,skill_type,base_chance,fail_result_key
plains_tang_patrol,2,Charisma,0.4,event.plains_tang_patrol.choice2.fail
plains_sogdian_merchant,1,Trade,0.5,event.plains_sogdian_merchant.choice1.fail
plains_broken_wheel,1,Survival,0.4,event.plains_broken_wheel.choice1.fail
plains_indian_festival,2,Charisma,0.5,event.plains_indian_festival.choice2.fail
plains_abbasid_deserters,2,Charisma,0.35,event.plains_abbasid_deserters.choice2.fail
plains_abandoned_camp,1,Survival,0.5,event.plains_abandoned_camp.choice1.fail
plains_cart_axle_split,1,Survival,0.35,event.plains_cart_axle_split.choice1.fail
plains_arab_tax_collector,2,Trade,0.4,event.plains_arab_tax_collector.choice2.fail
plains_hidden_well,1,Survival,0.5,event.plains_hidden_well.choice1.fail
plains_wedding_procession,2,Charisma,0.5,event.plains_wedding_procession.choice2.fail
plains_caravanserai_ruins,2,Survival,0.4,event.plains_caravanserai_ruins.choice2.fail
plains_persian_caravanserai,2,Trade,0.4,event.plains_persian_caravanserai.choice2.fail
plains_loose_cargo,3,Survival,0.5,event.plains_loose_cargo.choice3.fail
plains_damascus_bazaar,1,Trade,0.5,event.plains_damascus_bazaar.choice1.fail
plains_military_conscription,2,Charisma,0.35,event.plains_military_conscription.choice2.fail
plains_counterfeit_coins,2,Trade,0.4,event.plains_counterfeit_coins.choice2.fail
plains_night_raiders,2,Survival,0.35,event.plains_night_raiders.choice2.fail
plains_roadside_market,2,Trade,0.5,event.plains_roadside_market.choice2.fail
plains_dust_storm,2,Survival,0.4,event.plains_dust_storm.choice2.fail
plains_tang_official,1,Charisma,0.5,event.plains_tang_official.choice1.fail
plains_wild_horses,2,Survival,0.3,event.plains_wild_horses.choice2.fail
plains_merchant_caravan,1,Trade,0.4,event.plains_merchant_caravan.choice1.fail
plains_bandit_toll,2,Charisma,0.35,event.plains_bandit_toll.choice2.fail
desert_snake_nest,2,Survival,0.4,event.desert_snake_nest.choice2.fail
desert_turkic_raiders,2,Charisma,0.35,event.desert_turkic_raiders.choice2.fail
desert_sogdian_caravan,1,Trade,0.5,event.desert_sogdian_caravan.choice1.fail
desert_axle_crack,1,Survival,0.35,event.desert_axle_crack.choice1.fail
desert_smuggler_cache,2,Trade,0.4,event.desert_smuggler_cache.choice2.fail
desert_djinn_fire,2,Survival,0.3,event.desert_djinn_fire.choice2.fail
desert_dried_well,1,Survival,0.4,event.desert_dried_well.choice1.fail
desert_hajj_pilgrims,2,Charisma,0.5,event.desert_hajj_pilgrims.choice2.fail
desert_abandoned_caravan,1,Survival,0.5,event.desert_abandoned_caravan.choice1.fail
desert_night_stars,1,Survival,0.5,event.desert_night_stars.choice1.fail
desert_sogdian_banker,1,Trade,0.35,event.desert_sogdian_banker.choice1.fail
desert_arab_captain,1,Charisma,0.4,event.desert_arab_captain.choice1.fail
desert_mirage_djinn,1,Charisma,0.3,event.desert_mirage_djinn.choice1.fail
desert_incense_trader,1,Trade,0.4,event.desert_incense_trader.choice1.fail
desert_sky_omen,1,Charisma,0.4,event.desert_sky_omen.choice1.fail
desert_nomad_barter,1,Trade,0.4,event.desert_nomad_barter.choice1.fail
desert_guide_shortcut,1,Survival,0.35,event.desert_guide_shortcut.choice1.fail
desert_buried_shrine,1,Survival,0.4,event.desert_buried_shrine.choice1.fail
wolves_attack,2,Survival,0.4,event.wolves_attack.choice2.fail
suspicious_travelers,2,Charisma,0.35,event.suspicious_travelers.choice2.fail
unmarked_fork,2,Survival,0.5,event.unmarked_fork.choice2.fail
cliff_path,2,Survival,0.35,event.cliff_path.choice2.fail
poisoned_stream,2,Survival,0.4,event.poisoned_stream.choice2.fail
foreign_caravan_trade,1,Trade,0.5,event.foreign_caravan_trade.choice1.fail
cheap_goods,2,Trade,0.4,event.cheap_goods.choice2.fail
monopolist,2,Trade,0.35,event.monopolist.choice2.fail
passing_caravan,2,Charisma,0.44999999999999996,event.passing_caravan.choice2.fail
military_patrol,2,Charisma,0.35,event.military_patrol.choice2.fail
wandering_merchant,1,Trade,0.5,event.wandering_merchant.choice1.fail
rival_caravan,2,Trade,0.35,event.rival_caravan.choice2.fail
lucky_hunt,1,Survival,0.5,event.lucky_hunt.choice1.fail
camp_bandit_raid,1,Survival,0.35,event.camp_bandit_raid.choice1.fail
camp_wild_beasts,1,Survival,0.5,event.camp_wild_beasts.choice1.fail
camp_eerie_sounds,1,Survival,0.4,event.camp_eerie_sounds.choice1.fail
camp_thief,1,Survival,0.35,event.camp_thief.choice1.fail
camp_thief,2,Charisma,0.5,event.camp_thief.choice2.fail
camp_stranger_guest,1,Charisma,0.5,event.camp_stranger_guest.choice1.fail
camp_peddler,1,Trade,0.4,event.camp_peddler.choice1.fail
camp_patrol_check,1,Charisma,0.4,event.camp_patrol_check.choice1.fail
camp_companion_quarrel,1,Charisma,0.35,event.camp_companion_quarrel.choice1.fail
camp_fireside_tale,2,Charisma,0.44999999999999996,event.camp_fireside_tale.choice2.fail
camp_sick_animal,1,Survival,0.4,event.camp_sick_animal.choice1.fail
camp_repair_mishap,1,Survival,0.35,event.camp_repair_mishap.choice1.fail
camp_sudden_storm,1,Survival,0.35,event.camp_sudden_storm.choice1.fail
camp_snake_in_gear,1,Survival,0.5,event.camp_snake_in_gear.choice1.fail
camp_flash_flood,1,Survival,0.4,event.camp_flash_flood.choice1.fail
camp_starry_night,2,Survival,0.5,event.camp_starry_night.choice2.fail
camp_ghost_lights,1,Survival,0.4,event.camp_ghost_lights.choice1.fail
camp_passing_caravan,1,Trade,0.4,event.camp_passing_caravan.choice1.fail
crisis_famine_mutiny,2,Charisma,0.3,event.crisis_famine_mutiny.choice2.fail
crisis_famine_sell,2,Trade,0.25,event.crisis_famine_sell.choice2.fail
crisis_poverty_debt,2,Trade,0.3,event.crisis_poverty_debt.choice2.fail
crisis_poverty_theft,1,Charisma,0.35,event.crisis_poverty_theft.choice1.fail
crisis_poverty_theft,3,Charisma,0.2,event.crisis_poverty_theft.choice3.fail
crisis_siege,2,Survival,0.25,event.crisis_siege.choice2.fail
crisis_desertion,2,Charisma,0.25,event.crisis_desertion.choice2.fail
crisis_desertion,3,Survival,0.3,event.crisis_desertion.choice3.fail
crisis_unrest,2,Charisma,0.3,event.crisis_unrest.choice2.fail
crisis_cart_collapse,2,Survival,0.25,event.crisis_cart_collapse.choice2.fail
